,id,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,instant_bookable,reviews_per_month,price_in_euros,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
84,415619,0.42,f,1,1,Oostelijk Havengebied - Indische Buurt,52.36905,4.93528,Entire home/apt,3,1.0,1.0,2,$145.00,2,30,t,0,0,0,152,74,7,0,4.93,f,0.61,,$48.33,$290,8%,16%,14%,$4.99,,
85,437757,1.0,t,1,1,De Pijp - Rivierenbuurt,52.35503,4.90516,Entire home/apt,2,1.0,1.0,5,$145.00,3,7,t,0,0,0,2,136,13,1,4.63,f,1.11,,$72.5,$435,7%,16%,18%,$4.99,0.005479452054794521,550.972602739726
86,438089,1.0,f,1,1,De Baarsjes - Oud-West,52.36116,4.86608,Private room,2,1.0,1.0,12,$129.00,4,60,t,2,2,4,160,215,1,1,4.78,t,1.82,,$64.5,$516,7%,18%,14%,$4.99,0.4383561643835616,645.0
87,440992,0.62,f,1,1,Zuid,52.341621,4.849049,Entire home/apt,4,2.0,2.0,9,$200.00,3,60,t,2,2,2,48,116,11,3,4.87,f,0.95,,$50,$600,7%,29%,25%,$4.99,0.13150684931506848,1000.0
88,441424,0.92,f,1,1,Oostelijk Havengebied - Indische Buurt,52.37281,4.94303,Entire home/apt,4,3.0,3.0,6,$150.00,3,30,t,0,1,1,2,34,1,0,4.55,f,0.28,,$37.5,$450,6%,26%,15%,$4.99,0.005479452054794521,751.4383561643835
89,445660,1.0,t,2,2,De Baarsjes - Oud-West,52.37001,4.85646,Private room,3,2.0,3.0,9,$79.00,2,30,t,2,4,13,229,427,29,5,4.79,t,3.49,,$26.33,$158,5%,10%,16%,$4.99,,
90,446999,1.0,f,1,1,De Baarsjes - Oud-West,52.35927,4.86529,Private room,2,1.0,1.0,3,$119.00,4,90,t,10,10,12,162,328,0,0,4.77,t,2.79,,$59.5,$476,7%,18%,18%,$4.99,0.4438356164383562,595.0
91,450767,1.0,t,3,3,Centrum-Oost,52.37006,4.90081,Entire home/apt,4,2.0,3.0,10,$284.00,3,1125,t,0,0,1,201,104,27,3,4.63,f,0.88,,$71,$852,11%,21%,25%,$4.99,0.5726744186046512,1386.1918604651162
92,462341,0.89,f,1,1,Centrum-West,52.3739,4.89263,Entire home/apt,2,3.0,2.0,14,$176.00,3,20,t,0,2,10,10,36,5,1,4.97,f,0.42,,$88,$528,7%,21%,20%,$4.99,0.027472527472527472,879.3543956043956
93,481664,0.93,f,1,1,Westerpark,52.39134,4.89067,Private room,2,1.0,1.0,4,$105.00,2,14,t,3,5,9,238,471,33,5,4.69,f,4.59,,$52.5,$210,6%,17%,20%,$4.99,,
94,483779,,f,1,1,Slotervaart,52.3509,4.83293,Private room,2,,1.0,9,$100.00,2,14,t,0,0,0,0,37,0,0,4.88,f,0.54,,$50,$200,6%,11%,18%,$4.99,,
95,494433,0.77,f,2,2,De Baarsjes - Oud-West,52.36812,4.85422,Entire home/apt,6,2.0,3.0,8,$160.00,2,14,t,0,15,16,16,24,0,0,4.87,f,0.2,,$26.67,$320,7%,18%,15%,$4.99,,
96,503629,,f,1,1,Zuid,52.3543,4.87701,Entire home/apt,5,3.0,3.0,8,$120.00,5,22,t,0,0,0,0,11,0,0,4.82,f,0.1,,$24,$600,6%,19%,20%,$4.99,0.0,600.0
97,505012,0.0,f,2,2,Centrum-Oost,52.36412,4.88757,Entire home/apt,4,3.0,5.0,7,$299.00,3,30,t,1,2,4,160,60,0,0,4.72,f,0.51,,$74.75,$897,14%,27%,35%,$4.99,0.4383561643835616,1495.0
98,505650,0.8200000000000001,f,2,2,Zuid,52.35482,4.87438,Private room,3,2.0,3.0,6,$140.00,3,21,t,0,5,9,228,137,10,2,4.96,f,1.17,,$46.67,$420,5%,19%,19%,$4.99,0.6246575342465753,720.3424657534247
99,507598,0.0,f,1,1,Centrum-West,52.37694,4.88003,Entire home/apt,4,2.0,3.0,29,$600.00,2,60,t,0,1,3,278,62,0,0,4.67,t,0.51,,$150,$1200,13%,17%,26%,$10.99,,
100,508433,1.0,f,1,1,Geuzenveld - Slotermeer,52.37166,4.82951,Entire home/apt,4,2.0,3.0,14,$375.00,3,30,t,6,6,6,6,65,2,1,4.86,f,0.54,,$93.75,$1125,13%,18%,24%,$4.99,0.01643835616438356,1664.7260273972602
101,515088,0.0,f,1,1,Noord-Oost,52.39675,4.99603,Private room,4,1.0,2.0,3,$120.00,2,20,t,19,29,34,281,2,0,0,5.0,f,0.04,,$30,$240,6%,8%,17%,$4.99,,
102,515749,0.76,f,1,1,Centrum-Oost,52.35902,4.89606,Private room,4,1.0,1.0,12,$165.00,3,365,t,4,4,13,281,195,14,5,4.85,f,1.62,,$41.25,$495,7%,15%,21%,$4.99,0.7698630136986301,825.0
103,515921,0.10999999999999999,f,1,1,Zuid,52.35022,4.8525,Entire home/apt,4,2.0,1.0,4,$165.00,3,30,t,1,4,21,21,79,2,0,4.19,f,0.65,,$41.25,$495,8%,18%,19%,$4.99,0.057534246575342465,797.1917808219179
104,517996,0.04000000000000001,f,1,1,Centrum-West,52.37827,4.88568,Entire home/apt,2,1.0,1.0,14,$410.00,3,1125,t,28,58,88,147,23,0,0,4.67,t,0.19,,$205,$1230,8%,26%,13%,$10.99,0.40273972602739727,1872.3287671232877
105,522471,0.5,f,1,1,Bos en Lommer,52.3774,4.851,Entire home/apt,4,3.0,5.0,8,$180.00,8,25,t,0,10,11,11,24,1,0,4.96,f,0.22,,$45,$1440,7%,14%,17%,$4.99,0.030136986301369864,900.0
106,528022,0.97,f,1,1,Westerpark,52.39114,4.88846,Private room,2,1.0,1.0,7,$100.00,2,30,t,1,4,4,251,226,24,4,4.87,f,3.28,,$50,$200,7%,12%,15%,$4.99,,
107,538723,,f,1,1,Watergraafsmeer,52.354,4.93965,Entire home/apt,4,2.0,2.0,1,$140.00,5,30,t,0,0,0,0,57,0,0,4.84,f,0.47,,$35,$700,6%,14%,15%,$4.99,0.0,700.0
108,549310,0.6,f,1,1,De Baarsjes - Oud-West,52.37126,4.86241,Entire home/apt,5,2.0,4.0,10,$200.00,2,1125,t,0,0,0,0,50,7,1,4.48,f,0.6,,$40,$400,10%,21%,31%,$4.99,,
